id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,platform
ts79020,Hitler's Circle of Evil,SHOW,"Surviving power struggles, betrayals and plots, Hitler's inner circle of Nazi leaders seizes control of Germany and designs its disastrous future.",2018,TV-14,52,"['documentation', 'history', 'war']",['GB'],1.0,tt6600720,8.0,4322,5.542,7.5,n
ts84779,Haunted,SHOW,"Real people sit down with friends and family to share terrifying true stories from their past, re-created through chilling re-enactments.",2018,TV-MA,25,"['documentation', 'horror', 'reality']",['US'],3.0,tt9077192,4.6,3193,19.435,7.0,n
tm411415,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,MOVIE,"The story of Lynyrd Skynyrd; The Greatest American Rock Band Ever. We fly beyond Free Bird to celebrate the life & times of leader Ronnie Van Zant, from boogie-woogie beginnings in Jacksonville?�s Shantytown to a tragic end in a Mississippi swamp.",2018,,94,"['documentation', 'music']",['US'],,tt6214722,7.9,1285,3.925,7.7,n
ts83561,Immortals,SHOW,"Driven by revenge, human-turned-vampire Mia sets out to vanquish Dmitry, a ruthless vampire leader who seeks an artifact that grants immortality.",2018,TV-MA,47,"['scifi', 'action', 'drama', 'fantasy', 'thriller', 'music']",['TR'],1.0,tt8063174,5.4,3087,13.712,6.5,n
tm370392,The Week Of,MOVIE,The parents of a soon-to-be married couple make the final preparations for the wedding ceremony.,2018,PG-13,116,['comedy'],['US'],,tt6821012,5.2,21855,10.24,5.4,n
tm300184,iBoy,MOVIE,"After an accident, Tom wakes from a coma to discover that fragments of his smart phone have been embedded in his head, and worse, that returning to normal teenage life is impossible because he has developed a strange set of super powers.",2017,,90,"['scifi', 'action', 'crime', 'thriller']",['GB'],,tt3171832,6.0,22594,14.284,6.0,n
ts58225,The Standups,SHOW,"Comedy's freshest voices take the stage in LA for six half-hour specials packed with sly jokes, hilarious anecdotes and awkward confessions.",2017,TV-MA,30,['comedy'],['US'],3.0,tt15250768,6.6,1259,2.314,5.8,n
tm414962,May the Devil Take You,MOVIE,"Hoping to find answers to her estranged father's mysterious illness, a young woman visits his old villa and uncovers a horrifying truth from the past.",2018,R,110,"['thriller', 'horror']",['ID'],,tt8765496,5.9,4249,13.478,6.2,n
ts55581,The Bride of Habaek,SHOW,"Yoon So Ah is a pragmatic neuropsychiatrist who carries a tremendous financial burden to run her own practice. Her family has been tasked with serving Ha Baek, a reincarnated water god, for many generations, and So Ah is forced to do the same. Ha Baek starts to develop feelings for So Ah, but he has competition for her heart from Hoo Ye, the CEO of a resort company, who clashes with So Ah over a piece of land but then falls in love with her. Can a relationship between a mortal female and a god have a future?",2017,TV-14,67,"['drama', 'comedy', 'fantasy', 'romance']",['KR'],1.0,tt6385752,6.9,2819,60.517,7.3,n
tm370436,The Breaker Upperers,MOVIE,Two women run a business breaking up couples for cash but when one develops a conscience their friendship unravels.,2018,,82,['comedy'],['NZ'],,tt6728096,5.9,6123,7.605,5.2,n
